CI,Affaire - Assistance,Innovation - Règlementation,Collectif - Individuel,Liberté créative - Cadre,Confort - Effort Physique,Conceptuel - Concrêt 
Travailler à mon compte,-8.75,-3.75,7.5,2.25,nan,nan
Travailler seul,nan,nan,10,nan,nan,nan
"Piloter les coûts, la rentabilité",-10,7.75,5.25,7.75,-8.25,nan
Piloter un budget,-7.25,7,6,7.75,-8.25,7.5
Gérer un service de grande entreprise,-9.5,7.5,nan,6.5,-5.5,3.5
Gérer une salle de sport,-7,5.75,-2.75,2,nan,7.5
Gérer un hôtel,-8.25,nan,-3.25,6.5,nan,7.75
Gérer un salon de coiffure,-5.5,3,-0.75,3.5,nan,8
Créer un projet entrepreneurial,-9,-6,4,-2.75,3.5,3.25
Prendre des risques,nan,-7.5,nan,-8,nan,nan
Vendre ou louer des maisons,-7.5,nan,5,5,nan,6.5
"Gérer des actifs, un patrimoine",-8.5,8.5,5.75,5.25,-7.75,nan
Piloter des indicateurs statistiques,0,0,6,2.25,-9,-3
"Etre leader, inspirer et motiver",0,nan,-3,-3,nan,-5
"Organiser une équipe, des tâches",-3.5,1.5,nan,4.75,nan,5.5
"Coacher, faire progresser les autres",6,-6.5,nan,nan,nan,-4
Atteindre des objectifs ambitieux,-8.75,nan,nan,nan,nan,nan
Accompagner le changement,3,nan,-3.75,-3.5,nan,-4.75
Réaliser une veille de marché,-7.25,-10,7,6.25,-7,nan
Concevoir une offre de produits / services,-3,-3.25,4,nan,-6,-6
Travailler dans l’administration publique,5,6.75,nan,7.5,nan,nan
Donner des discours,nan,-7.5,6,-1.75,nan,-3
Développer un territoire économique,nan,-1.25,nan,5,-1.75,3
"Gérer et entretenir un site, une infrastructure",-6,6,-2.25,6.75,2.5,6.5
"Se déplacer souvent, voyager",nan,nan,6.75,nan,6.5,7.5
"Convaincre, influencer",nan,nan,nan,-6,nan,-3
"Concevoir des contenus, des supports de communication",-4.75,-7.5,6.75,-6.25,-7.25,nan
Gérer le marketing et piloter l'image de marque,-8.5,-7.25,5.25,-4.25,-6.75,nan
"Vendre, commercialiser",-10,-6.25,5.75,3.25,3.75,5.75
Servir un client,2,-3.5,5.5,3,nan,6.5
Elaborer une stratégie commerciale,-9,-6.25,5.75,-1.75,-6.25,-6.25
Elaborer une offre commerciale / Répondre à un appel d'offre,-9.5,-3.75,4,7,-7.5,-6.5
Gérer la relation client,-3,-3,6,nan,-0.75,4.5
"Améliorer la qualité de service, fidéliser les clients",-3,-3,4.5,nan,-4,-2.25
Animer la communication interne,nan,nan,nan,-3.5,-6.25,3.75
"Accueillir, orienter, renseigner",10,nan,nan,5.5,nan,4.25
S'occuper de la carrière de quelqu'un,7.5,nan,nan,nan,nan,5.5
Ecouter et dialoguer avec ses collaborateurs,0,nan,-3,-2.75,0,1
Maintenir l’engagement et la satisfaction des collaborateurs,nan,nan,-5.75,-0.25,-6.25,1.25
Travailler en réseau,nan,nan,-8,nan,nan,4.5
Découvrir d'autres cultures,nan,nan,nan,nan,nan,-4.75
Travailler en collectif,nan,nan,-10,nan,nan,nan
Travailler dans le secteur social,10,nan,-5.25,6.25,4,5.75
Travailler dans un bureau,nan,nan,nan,nan,-9,nan
Assurer une gestion documentaire,nan,6.75,8.25,8.25,-8.25,5.5
Faire des inventaires et tenir des registres,nan,7,7.5,8.25,nan,8
Commander et gérer le matériel de bureaux,nan,4.25,nan,5.75,-4.25,6.75
Gérer la logistique,nan,7,1.25,8.25,2.25,8.25
Tenir le registre des transactions financières d'une entreprise,nan,9,8,9,-7.25,7.25
Assurer la gestion administrative,nan,8,6.75,7.75,-9,7.5
Calculer le salaire des employés,nan,9.5,7.75,10,-8.75,5.75
Transférer des fonds entre banques,nan,10,nan,10,nan,nan
Elaborer et faire respecter des consignes,nan,10,-3,7.5,-3.5,5
Respecter les règles,nan,10,nan,10,nan,6.5
Collecter et classer,nan,8.5,6,8,nan,8
Gérer la comptabilité et les finances,-5.5,10,nan,9.75,-7.25,nan
Gérer les finances publiques,nan,10,nan,9.25,-8,nan
Protéger les personnes et les biens,8,9.5,nan,7.25,6.5,7.25
Juger,nan,nan,7.5,nan,nan,nan
Faire respecter les lois,nan,10,nan,9.5,6,7.5
Participer à des procès,nan,nan,nan,7.5,nan,nan
Enquêter,nan,-3.25,4,nan,5.5,5
Rédiger des contrats,nan,9.5,6.75,8.75,nan,nan
Négocier des contrats,-6.25,6.5,nan,1.5,-3.5,0
Respecter un cadre juridique,nan,9.5,nan,9.75,nan,nan
Assurer un transport,nan,7.5,nan,7.25,nan,8.5
Travailler sur des voitures,nan,nan,6,1,6.5,9.25
"Réparer, nettoyer, entretenir",nan,nan,7.25,nan,7.25,10
Poser du parquet ou du carrelage,nan,nan,5.75,nan,8.25,10
Poser des murs ou des toits,nan,nan,nan,6.75,8.25,10
"Poser, réparer de la plomberie",nan,nan,7,7.25,8.25,10
"Livrer, transporter, conduire, manoeuvrer",nan,6.25,8.75,6.5,8,10
Porter ou manipuler des charges lourdes,nan,nan,nan,nan,9.25,9
"Faire un travail physique, fatiguant",nan,nan,nan,nan,10,nan
Réparer et installer des serrures,nan,nan,8.25,7,6.25,10
Se rendre sur des chantiers,nan,nan,nan,nan,6.75,8.5
Manipuler des matières premières,nan,nan,nan,6.25,6.5,9.75
"Extraire, exploiter des ressources",nan,nan,nan,3.75,8,7.5
"Conditionner, manutentionner des produits",nan,nan,4,7.75,7.5,10
Réparer des appareils électroménagers,nan,4.75,7,6,7.75,10
Monter des meubles,nan,3.25,nan,7,7.25,8
Maîtriser un savoir faire technique,nan,4.75,8.25,nan,nan,nan
Utiliser une machine sur une chaîne de production,nan,7.75,7.75,9.25,6,9
Assembler des pièces électroniques,nan,4.75,8.5,8,5.5,9
Assurer la maintenance technique,nan,7.5,8,8.25,6.75,9.25
"Cultiver, récolter",nan,nan,5.5,nan,9.25,9.5
Cuisiner,2.5,nan,nan,-3,nan,9.75
Travailler dans l'art ou dans la musique,nan,-8.25,nan,-9.5,nan,-4.5
"Faire des tâches minutieuses, de précision",nan,nan,8,3.75,nan,9
"Utiliser des machines, des outils, des logiciels",nan,nan,6.75,nan,nan,6.75
"Repérer les erreurs, observer, contrôler",nan,7.75,6.5,7.5,nan,6.75
Maîtriser une documentation technique,nan,nan,7.75,6.5,nan,nan
Contrôler la qualité,1,7.25,7.25,8.25,nan,7.25
Gérer les stocks et les approvisionnements,nan,5.75,5.5,7.75,nan,7.5
Travailler de mes mains,nan,nan,nan,nan,6.5,8
"Construire, fabriquer",nan,-2.25,nan,nan,8.75,10
Entretenir des jardins et des espaces verts,nan,1.25,5,nan,8.5,10
Aménager un espace,nan,-0.75,4.25,-5,nan,nan
Dessiner,nan,nan,9.5,-8.25,-8.5,nan
Ecrire des chansons,nan,-7.25,8.5,-7.75,-9.25,nan
"Composer, mettre en scène",nan,-8,nan,-7.75,2,nan
"Créer une oeuvre, designer",nan,-8.5,6.75,-8,nan,nan
"Faire des illustrations, du graphisme",nan,-7.75,7.75,-6,-7.75,nan
Ecrire des scénarios de films ou séries,nan,-6.5,5.5,-6.5,-9,nan
"Distraire, animer, divertir",nan,-6.5,nan,-6.25,2.25,-2.5
"Chanter, jouer d'un instrument",nan,nan,nan,nan,2,4.75
Exercer une activité artistique ou créative,nan,-8,6,-8.75,nan,4
Travailler dans le spectacle ou pour la télévision,nan,nan,nan,nan,nan,nan
"Réaliser une performance, une représentation artistique",nan,-7.25,nan,-7.5,5.5,3.5
Diriger une pièce de théâtre,nan,nan,nan,nan,3.75,nan
Se déplacer pour faire des reportages,nan,nan,nan,nan,7.25,7.75
Avoir des sensations fortes,nan,nan,9.25,nan,nan,nan
Jouer un rôle dans une série ou un film,nan,-5,nan,nan,4.75,nan
